386,9,ELS,LS,MLS,MS,MCU,CU,ECU,
256.0,157.0,63.0,171.0,77.0,121.0,51.0,198.0,167.0,0
256.0,74.0,59.0,91.0,84.0,51.0,50.0,107.0,193.0,1
224.0,383.0,49.0,419.0,89.0,356.0,18.0,489.0,224.0,3
256.0,90.0,72.0,158.0,183.0,1.0,22.0,231.0,256.0,5
224.0,275.0,75.0,325.0,147.0,250.0,25.0,423.0,222.0,4
224.0,186.0,42.0,246.0,124.0,71.0,1.0,291.0,224.0,5
256.0,255.0,76.0,261.0,85.0,217.0,68.0,262.0,165.0,0
256.0,213.0,54.0,268.0,111.0,191.0,11.0,360.0,256.0,3
256.0,241.0,40.0,295.0,119.0,136.0,12.0,377.0,255.0,3
256.0,283.0,28.0,426.0,196.0,1.0,1.0,460.0,256.0,5
224.0,223.0,136.0,228.0,142.0,212.0,130.0,239.0,211.0,0
224.0,253.0,1.0,401.0,196.0,183.0,1.0,528.0,224.0,5
256.0,132.0,41.0,222.0,216.0,1.0,1.0,283.0,256.0,5
256.0,239.0,135.0,243.0,141.0,234.0,132.0,246.0,178.0,0
256.0,217.0,30.0,261.0,96.0,102.0,9.0,341.0,256.0,3
256.0,121.0,66.0,132.0,81.0,93.0,51.0,168.0,240.0,1
256.0,279.0,25.0,319.0,90.0,211.0,4.0,391.0,256.0,3
256.0,77.0,81.0,128.0,188.0,67.0,9.0,284.0,256.0,5
256.0,270.0,92.0,279.0,107.0,246.0,87.0,292.0,216.0,0
256.0,168.0,8.0,231.0,91.0,101.0,1.0,307.0,232.0,4
256.0,290.0,72.0,299.0,84.0,274.0,70.0,315.0,162.0,0
256.0,193.0,68.0,236.0,143.0,189.0,35.0,363.0,256.0,4
256.0,248.0,94.0,296.0,157.0,137.0,56.0,319.0,256.0,4
256.0,188.0,52.0,266.0,201.0,45.0,2.0,358.0,256.0,5
256.0,178.0,65.0,230.0,122.0,80.0,21.0,350.0,254.0,4
256.0,216.0,48.0,235.0,78.0,193.0,42.0,265.0,256.0,1
256.0,108.0,106.0,212.0,246.0,1.0,25.0,310.0,256.0,5
256.0,353.0,37.0,448.0,186.0,248.0,1.0,492.0,256.0,5
256.0,167.0,64.0,243.0,176.0,127.0,1.0,414.0,256.0,5
192.0,135.0,18.0,250.0,186.0,103.0,1.0,302.0,192.0,5
256.0,190.0,61.0,305.0,207.0,155.0,1.0,372.0,256.0,5
256.0,165.0,45.0,228.0,129.0,41.0,1.0,244.0,256.0,4
256.0,133.0,74.0,175.0,121.0,56.0,19.0,247.0,255.0,3
256.0,171.0,68.0,272.0,229.0,79.0,1.0,384.0,256.0,5
256.0,243.0,74.0,338.0,208.0,38.0,1.0,411.0,256.0,5
256.0,269.0,77.0,341.0,181.0,160.0,21.0,506.0,256.0,4
256.0,109.0,50.0,191.0,153.0,41.0,1.0,329.0,256.0,5
256.0,181.0,60.0,227.0,130.0,39.0,43.0,239.0,256.0,3
224.0,154.0,31.0,276.0,174.0,1.0,1.0,314.0,224.0,5
256.0,119.0,48.0,173.0,145.0,102.0,1.0,336.0,256.0,4
256.0,184.0,57.0,247.0,149.0,67.0,1.0,248.0,256.0,4
256.0,81.0,75.0,128.0,148.0,1.0,55.0,137.0,256.0,4
256.0,189.0,72.0,301.0,191.0,1.0,31.0,401.0,256.0,5
256.0,118.0,1.0,348.0,256.0,22.0,1.0,381.0,256.0,6
256.0,129.0,8.0,295.0,241.0,1.0,1.0,376.0,256.0,5
256.0,93.0,1.0,300.0,256.0,1.0,1.0,321.0,256.0,6
256.0,136.0,65.0,260.0,252.0,18.0,1.0,354.0,256.0,5
224.0,65.0,1.0,310.0,224.0,57.0,1.0,465.0,224.0,6
256.0,269.0,137.0,288.0,175.0,117.0,111.0,346.0,254.0,3
240.0,88.0,46.0,149.0,131.0,4.0,1.0,213.0,238.0,4
256.0,122.0,39.0,224.0,178.0,1.0,1.0,299.0,256.0,5
256.0,45.0,31.0,147.0,210.0,1.0,1.0,207.0,256.0,5
256.0,96.0,1.0,315.0,256.0,21.0,1.0,382.0,256.0,6
256.0,105.0,37.0,222.0,210.0,1.0,1.0,249.0,256.0,5
256.0,122.0,45.0,145.0,69.0,98.0,26.0,187.0,245.0,2
256.0,158.0,64.0,256.0,216.0,139.0,1.0,400.0,254.0,5
256.0,272.0,76.0,318.0,154.0,270.0,35.0,438.0,256.0,4
256.0,369.0,43.0,387.0,70.0,357.0,37.0,425.0,255.0,1
256.0,163.0,41.0,197.0,85.0,106.0,26.0,247.0,256.0,3
256.0,164.0,74.0,236.0,162.0,22.0,8.0,300.0,256.0,4
256.0,157.0,32.0,197.0,92.0,122.0,12.0,257.0,256.0,3
256.0,327.0,66.0,370.0,121.0,294.0,42.0,482.0,256.0,3
256.0,264.0,69.0,419.0,256.0,211.0,1.0,488.0,256.0,5
256.0,241.0,72.0,336.0,206.0,38.0,1.0,410.0,256.0,5
256.0,122.0,46.0,211.0,169.0,20.0,11.0,352.0,226.0,5
256.0,144.0,70.0,206.0,165.0,50.0,12.0,308.0,254.0,5
256.0,155.0,25.0,169.0,46.0,143.0,20.0,201.0,211.0,1
256.0,281.0,67.0,339.0,143.0,185.0,25.0,384.0,256.0,4
256.0,220.0,10.0,320.0,208.0,221.0,1.0,320.0,256.0,5
256.0,146.0,52.0,222.0,160.0,63.0,1.0,357.0,255.0,4
256.0,163.0,36.0,283.0,242.0,98.0,1.0,397.0,254.0,5
256.0,91.0,50.0,187.0,190.0,52.0,1.0,331.0,256.0,5
256.0,167.0,41.0,272.0,204.0,96.0,1.0,374.0,254.0,5
256.0,169.0,63.0,256.0,171.0,74.0,1.0,350.0,256.0,5
256.0,99.0,45.0,124.0,73.0,44.0,36.0,145.0,242.0,1
256.0,193.0,45.0,235.0,111.0,63.0,19.0,370.0,254.0,3
256.0,123.0,124.0,206.0,206.0,1.0,12.0,284.0,256.0,5
224.0,320.0,73.0,370.0,138.0,246.0,34.0,417.0,222.0,4
256.0,147.0,37.0,209.0,117.0,24.0,7.0,319.0,256.0,4
256.0,134.0,64.0,170.0,113.0,53.0,23.0,228.0,256.0,3
256.0,276.0,48.0,310.0,101.0,237.0,6.0,389.0,256.0,3
256.0,199.0,50.0,245.0,172.0,189.0,1.0,426.0,256.0,5
256.0,300.0,117.0,408.0,256.0,228.0,51.0,483.0,256.0,5
256.0,219.0,82.0,294.0,211.0,211.0,1.0,487.0,256.0,5
256.0,313.0,51.0,431.0,237.0,204.0,1.0,496.0,256.0,5
256.0,174.0,65.0,221.0,121.0,81.0,44.0,301.0,255.0,3
256.0,251.0,59.0,334.0,195.0,242.0,4.0,462.0,256.0,5
256.0,191.0,56.0,265.0,170.0,149.0,20.0,313.0,256.0,5
256.0,147.0,51.0,183.0,125.0,128.0,5.0,308.0,256.0,4
256.0,208.0,63.0,350.0,240.0,183.0,1.0,432.0,256.0,5
256.0,216.0,46.0,234.0,80.0,214.0,18.0,318.0,256.0,2
256.0,258.0,62.0,302.0,111.0,238.0,11.0,389.0,256.0,3
256.0,134.0,48.0,153.0,85.0,85.0,21.0,192.0,256.0,2
256.0,115.0,18.0,223.0,210.0,115.0,1.0,320.0,256.0,5
256.0,215.0,44.0,268.0,115.0,196.0,1.0,410.0,256.0,3
256.0,90.0,29.0,107.0,52.0,75.0,20.0,129.0,231.0,1
256.0,136.0,66.0,191.0,166.0,38.0,17.0,220.0,255.0,5
256.0,283.0,66.0,386.0,220.0,221.0,6.0,555.0,256.0,5
256.0,204.0,84.0,277.0,167.0,31.0,14.0,400.0,256.0,4
256.0,114.0,61.0,189.0,218.0,1.0,27.0,189.0,254.0,5
256.0,97.0,61.0,118.0,101.0,3.0,35.0,121.0,256.0,3
256.0,120.0,57.0,167.0,122.0,16.0,1.0,314.0,256.0,4
256.0,119.0,40.0,182.0,122.0,28.0,1.0,247.0,256.0,4
256.0,142.0,57.0,202.0,140.0,41.0,7.0,319.0,256.0,4
256.0,195.0,51.0,272.0,153.0,34.0,14.0,377.0,256.0,4
256.0,240.0,39.0,347.0,192.0,155.0,1.0,419.0,254.0,5
256.0,129.0,31.0,163.0,76.0,95.0,1.0,220.0,255.0,3
256.0,83.0,87.0,146.0,166.0,2.0,12.0,221.0,256.0,4
256.0,116.0,78.0,153.0,129.0,81.0,49.0,211.0,255.0,3
256.0,242.0,77.0,294.0,147.0,155.0,44.0,362.0,256.0,4
240.0,169.0,50.0,189.0,76.0,126.0,35.0,219.0,240.0,2
256.0,190.0,58.0,292.0,207.0,174.0,1.0,405.0,256.0,5
256.0,128.0,60.0,149.0,107.0,1.0,31.0,156.0,256.0,3
256.0,1.0,1.0,303.0,256.0,94.0,1.0,305.0,256.0,6
224.0,165.0,1.0,337.0,202.0,60.0,1.0,382.0,224.0,5
256.0,116.0,74.0,164.0,142.0,45.0,46.0,241.0,174.0,3
224.0,182.0,35.0,284.0,166.0,138.0,1.0,382.0,224.0,5
224.0,282.0,24.0,331.0,90.0,207.0,3.0,412.0,222.0,3
224.0,266.0,37.0,340.0,140.0,189.0,1.0,464.0,224.0,5
256.0,287.0,59.0,325.0,110.0,175.0,2.0,367.0,256.0,3
256.0,176.0,30.0,298.0,214.0,21.0,1.0,432.0,256.0,5
256.0,178.0,62.0,204.0,97.0,152.0,40.0,254.0,256.0,2
256.0,138.0,33.0,221.0,217.0,1.0,1.0,332.0,256.0,5
224.0,193.0,50.0,286.0,158.0,112.0,1.0,299.0,224.0,5
256.0,153.0,54.0,205.0,115.0,57.0,25.0,263.0,256.0,4
256.0,209.0,75.0,252.0,122.0,132.0,42.0,301.0,256.0,3
224.0,266.0,40.0,346.0,128.0,163.0,1.0,470.0,223.0,4
256.0,107.0,62.0,161.0,187.0,22.0,18.0,236.0,254.0,4
256.0,305.0,61.0,322.0,87.0,273.0,55.0,348.0,255.0,1
256.0,212.0,27.0,232.0,52.0,186.0,20.0,247.0,239.0,1
256.0,141.0,57.0,204.0,156.0,4.0,16.0,204.0,256.0,4
256.0,300.0,31.0,337.0,94.0,273.0,4.0,391.0,256.0,3
224.0,199.0,36.0,243.0,90.0,137.0,8.0,289.0,224.0,3
256.0,194.0,68.0,234.0,127.0,98.0,32.0,296.0,248.0,4
256.0,244.0,19.0,294.0,78.0,130.0,15.0,401.0,256.0,3
256.0,165.0,51.0,192.0,88.0,135.0,43.0,283.0,256.0,2
256.0,210.0,49.0,230.0,79.0,163.0,30.0,271.0,218.0,2
256.0,152.0,18.0,217.0,147.0,2.0,1.0,459.0,256.0,4
256.0,147.0,1.0,384.0,256.0,1.0,1.0,432.0,256.0,6
256.0,194.0,27.0,216.0,59.0,164.0,11.0,228.0,256.0,2
256.0,115.0,19.0,202.0,160.0,37.0,1.0,427.0,256.0,4
256.0,190.0,108.0,202.0,121.0,176.0,102.0,216.0,171.0,0
256.0,160.0,57.0,269.0,209.0,53.0,1.0,362.0,256.0,5
256.0,86.0,44.0,137.0,158.0,1.0,5.0,166.0,256.0,4
256.0,184.0,46.0,229.0,111.0,59.0,6.0,343.0,256.0,3
256.0,183.0,42.0,221.0,101.0,101.0,13.0,264.0,256.0,3
256.0,69.0,70.0,107.0,112.0,8.0,30.0,169.0,256.0,3
192.0,93.0,23.0,207.0,156.0,1.0,1.0,269.0,192.0,5
256.0,227.0,45.0,310.0,177.0,93.0,1.0,381.0,256.0,5
256.0,188.0,47.0,216.0,95.0,159.0,3.0,293.0,256.0,3
256.0,173.0,50.0,185.0,67.0,160.0,43.0,195.0,158.0,0
256.0,142.0,42.0,183.0,98.0,44.0,1.0,256.0,255.0,3
256.0,137.0,41.0,207.0,153.0,19.0,16.0,320.0,256.0,5
256.0,352.0,66.0,384.0,113.0,307.0,30.0,504.0,256.0,3
256.0,243.0,66.0,305.0,190.0,243.0,2.0,418.0,255.0,5
256.0,292.0,57.0,346.0,123.0,250.0,2.0,401.0,256.0,4
256.0,241.0,13.0,369.0,216.0,179.0,1.0,549.0,256.0,5
256.0,164.0,31.0,180.0,56.0,149.0,21.0,218.0,243.0,1
256.0,201.0,84.0,266.0,198.0,13.0,23.0,361.0,256.0,5
256.0,165.0,35.0,265.0,200.0,96.0,1.0,371.0,254.0,5
256.0,235.0,79.0,277.0,128.0,161.0,33.0,356.0,256.0,3
256.0,148.0,15.0,270.0,208.0,149.0,1.0,391.0,255.0,5
256.0,59.0,86.0,130.0,153.0,1.0,6.0,286.0,256.0,4
256.0,171.0,50.0,187.0,77.0,165.0,24.0,265.0,256.0,2
256.0,75.0,133.0,154.0,203.0,18.0,25.0,312.0,254.0,5
256.0,220.0,90.0,291.0,199.0,214.0,38.0,320.0,256.0,5
256.0,121.0,36.0,174.0,118.0,44.0,7.0,234.0,254.0,4
256.0,131.0,62.0,199.0,167.0,27.0,24.0,230.0,256.0,5
256.0,165.0,71.0,258.0,224.0,1.0,1.0,302.0,256.0,5
256.0,114.0,44.0,218.0,189.0,1.0,1.0,349.0,256.0,5
256.0,305.0,1.0,476.0,234.0,213.0,1.0,544.0,256.0,5
224.0,247.0,44.0,304.0,116.0,154.0,25.0,417.0,222.0,4
256.0,250.0,94.0,263.0,110.0,240.0,89.0,288.0,213.0,0
256.0,194.0,31.0,255.0,115.0,76.0,1.0,328.0,256.0,4
256.0,196.0,54.0,255.0,147.0,85.0,22.0,308.0,256.0,4
256.0,216.0,44.0,274.0,124.0,118.0,18.0,354.0,254.0,4
256.0,217.0,71.0,306.0,200.0,118.0,1.0,431.0,256.0,5
256.0,112.0,3.0,246.0,250.0,44.0,1.0,282.0,256.0,5
256.0,170.0,37.0,239.0,129.0,85.0,1.0,334.0,256.0,4
192.0,171.0,35.0,226.0,107.0,100.0,11.0,289.0,192.0,4
256.0,136.0,28.0,156.0,68.0,84.0,1.0,162.0,256.0,2
256.0,169.0,75.0,193.0,105.0,126.0,53.0,245.0,256.0,2
256.0,137.0,74.0,215.0,188.0,1.0,13.0,345.0,256.0,5
192.0,256.0,1.0,387.0,154.0,257.0,1.0,480.0,192.0,5
224.0,105.0,1.0,309.0,224.0,67.0,1.0,319.0,224.0,6
256.0,189.0,83.0,269.0,195.0,161.0,13.0,320.0,256.0,5
256.0,142.0,49.0,221.0,161.0,46.0,16.0,319.0,256.0,5
256.0,1.0,1.0,544.0,256.0,1.0,1.0,544.0,256.0,6
224.0,173.0,24.0,295.0,167.0,1.0,1.0,349.0,224.0,5
256.0,207.0,51.0,246.0,98.0,165.0,16.0,352.0,256.0,3
224.0,220.0,9.0,367.0,186.0,211.0,1.0,525.0,222.0,5
256.0,1.0,26.0,399.0,256.0,1.0,26.0,400.0,256.0,6
